0.01,0.330411855
0.02,0.277707001
0.03,0.277182894
0.04,0.275270516
0.05,0.272567746
0.06,0.2697058
0.07,0.266925404
0.08,0.264308776
0.09,0.261876276
0.1,0.259624193
0.11,0.257539877
0.12,0.255608112
0.13,0.253813722
0.14,0.252142584
0.15,0.250582042
0.16,0.249120838
0.17,0.247749087
0.18,0.244737596
0.19,0.246343557
0.2,0.247722135
0.21,0.248909881
0.22,0.249936237
0.23,0.250825242
0.24,0.251596612
0.25,0.252266695
0.26,0.25293775
0.27,0.253536369
0.28,0.254071692
0.29,0.254551572
0.3,0.254982617
0.31,0.255370606
0.32,0.255720405
0.33,0.256036344
0.34,0.256322118
0.35,0.256580963
0.36,0.256815733
0.37,0.257028894
0.38,0.257222674
0.39,0.257399008
0.4,0.257559621
0.41,0.257706027
0.42,0.257839623
0.43,0.257961578
0.44,0.25807304
0.45,0.258174948
0.46,0.258268201
0.47,0.258353568
0.48,0.258431776
0.49,0.258503468
0.5,0.258569246
0.51,0.258629587
0.52,0.258685027
0.53,0.258735972
0.54,0.258782833
0.55,0.258825939
0.56,0.258865672
0.57,0.258902295
0.58,0.258936079
0.59,0.258967319
0.6,0.258996191
0.61,0.259224992
0.62,0.259445114
0.63,0.259663977
0.64,0.259881631
0.65,0.260098235
0.66,0.260313861
0.67,0.260528613
0.68,0.260742584
0.69,0.260955834
0.7,0.261168432
0.71,0.261380463
0.72,0.261591957
0.73,0.261802997
0.74,0.262013623
0.75,0.262223879
0.76,0.262433805
0.77,0.262643443
0.78,0.26285285
0.79,0.263062021
0.8,0.263271044
0.81,0.263479881
0.82,0.263688615
0.83,0.263897242
0.84,0.264105779
0.85,0.264314288
0.86,0.264522737
0.87,0.26473118
0.88,0.2649396
0.89,0.265148058
0.9,0.265356531
0.91,0.267160956
0.92,0.272574229
0.93,0.284826396
0.94,0.30121082
0.95,0.317595244
0.96,0.333979669
0.97,0.350364093
0.98,0.366748517
0.99,0.383132941
1,0.399517365
1.01,0.41590179
1.02,0.432286214
1.03,0.448670638
1.04,0.465055062
1.05,0.481439487
1.06,0.480699752
1.07,0.479974029
1.08,0.479261758
1.09,0.478562676
1.1,0.477876327
1.11,0.477202337
1.12,0.476540149
1.13,0.475895216
1.14,0.475279448
1.15,0.474684816
1.16,0.473217224
1.17,0.471737933
1.18,0.470278724
1.19,0.468838986
1.2,0.467417937
1.21,0.466015058
1.22,0.464630029
1.23,0.463262174
1.24,0.461911335
1.25,0.460577092
1.26,0.45925899
1.27,0.457956818
1.28,0.456670316
1.29,0.455399183
1.3,0.454143
1.31,0.452901801
1.32,0.451675051
1.33,0.450462757
1.34,0.449264467
1.35,0.448080221
1.36,0.4469096
1.37,0.445752519
1.38,0.444608814
1.39,0.443478293
1.4,0.442360711
1.41,0.441255916
1.42,0.440163726
1.43,0.43908412
1.44,0.438016841
1.45,0.436961773
1.46,0.435918766
1.47,0.4348876
1.48,0.433868365
1.49,0.43286071
1.5,0.431864583
1.51,0.43087992
1.52,0.429906532
1.53,0.428944427
1.54,0.427993303
1.55,0.427053275
1.56,0.42612405
1.57,0.425205724
1.58,0.424298043
1.59,0.423401005
1.6,0.422514451
1.61,0.421638404
1.62,0.42077269
1.63,0.419917311
1.64,0.419072061
1.65,0.418237058
1.66,0.417412134
1.67,0.416597129
1.68,0.415792172
1.69,0.414997065
1.7,0.414211821
1.71,0.413436308
1.72,0.412670462
1.73,0.41191435
1.74,0.411167837
1.75,0.41024627
1.76,0.40909832
1.77,0.407956585
1.78,0.406820936
1.79,0.405691279
1.8,0.404567432
1.81,0.403449361
1.82,0.402336983
1.83,0.401230103
1.84,0.400128643
1.85,0.399032514
1.86,0.397941635
1.87,0.396855917
1.88,0.395775278
1.89,0.394699678
1.9,0.393629023
1.91,0.392563143
1.92,0.391502077
1.93,0.390445644
1.94,0.389393825
1.95,0.38834663
1.96,0.387303818
1.97,0.386265517
1.98,0.385231568
1.99,0.384201859
2,0.383176422
2.01,0.382276906
2.02,0.381377647
2.03,0.380482676
2.04,0.379591868
2.05,0.378705176
2.06,0.377822575
2.07,0.376944131
2.08,0.376069613
2.09,0.375199206
2.1,0.374332684
2.11,0.373470021
2.12,0.372611379
2.13,0.37175654
2.14,0.370905495
2.15,0.370058227
2.16,0.369214798
2.17,0.368375005
2.18,0.367539008
2.19,0.366706723
2.2,0.365878006
2.21,0.365052963
2.22,0.364231551
2.23,0.363413673
2.24,0.362599419
2.25,0.361788689
2.26,0.360981437
2.27,0.360177681
2.28,0.359377473
2.29,0.358580651
2.3,0.357787285
2.31,0.356997352
2.32,0.356210855
2.33,0.355427682
2.34,0.354647826
2.35,0.353871389
2.36,0.353098358
2.37,0.352328525
2.38,0.351561965
2.39,0.350798806
2.4,0.350038823
2.41,0.349282107
2.42,0.348528671
2.43,0.347778385
2.44,0.347031374
2.45,0.346287621
2.46,0.345546907
2.47,0.344809458
2.48,0.344075134
2.49,0.343343959
2.5,0.342615938
2.51,0.341891053
2.52,0.3411692
2.53,0.340450459
2.54,0.339734866
2.55,0.339022304
2.56,0.338312767
2.57,0.337606361
2.58,0.336902956
2.59,0.336202599
2.6,0.335505163
2.61,0.334810842
2.62,0.33411953
2.63,0.333431142
2.64,0.332745791
2.65,0.332063341
2.66,0.331383818
2.67,0.330707306
2.68,0.330033707
2.69,0.329363127
2.7,0.328695369
2.71,0.328030538
2.72,0.327368619
2.73,0.326709595
2.74,0.326053409
2.75,0.325400138
2.76,0.324749684
2.77,0.324102153
2.78,0.323457326
2.79,0.322815429
2.8,0.322176356
